berthage,section
201121.0,荔园路(蛇口西段)
201216.0,招商路(蛇口西段)
201155.0,荔园路(蛇口西段)
201237.0,招商路(蛇口西段)
201185.0,招商路(蛇口西段)
203077.0,后海大道辅道(蛇口北段)
201164.0,荔园路(蛇口西段)
202232.0,金世纪路
203039.0,四海路
203067.0,后海大道辅道(蛇口北段)
201127.0,荔园路(蛇口西段)
201151.0,荔园路(蛇口西段)
201157.0,荔园路(蛇口西段)
201218.0,招商路(蛇口西段)
203011.0,四海路
203033.0,四海路
201195.0,招商路(蛇口西段)
203030.0,四海路
203065.0,后海大道辅道(蛇口北段)
201171.0,荔园路(蛇口西段)
201188.0,招商路(蛇口西段)
203084.0,后海大道辅道(蛇口北段)
201159.0,荔园路(蛇口西段)
203267.0,荔园路(蛇口东段)
201094.0,荔园路(蛇口西段)
201232.0,招商路(蛇口西段)
202209.0,金世纪路
203024.0,四海路
203064.0,后海大道辅道(蛇口北段)
203115.0,后海大道辅道(蛇口北段)
201167.0,荔园路(蛇口西段)
203044.0,四海路
202208.0,金世纪路
201143.0,荔园路(蛇口西段)
203122.0,后海大道辅道(蛇口北段)
201148.0,荔园路(蛇口西段)
202207.0,金世纪路
201111.0,荔园路(蛇口西段)
203262.0,荔园路(蛇口东段)
203036.0,四海路
203268.0,荔园路(蛇口东段)
203269.0,荔园路(蛇口东段)
202316.0,海月路(东段)
203076.0,后海大道辅道(蛇口北段)
201098.0,荔园路(蛇口西段)
201215.0,招商路(蛇口西段)
202313.0,海月路(东段)
203017.0,四海路
203046.0,四海路
201106.0,荔园路(蛇口西段)
201156.0,荔园路(蛇口西段)
201181.0,招商路(蛇口西段)
201202.0,招商路(蛇口西段)
203034.0,四海路
203062.0,后海大道辅道(蛇口北段)
201131.0,荔园路(蛇口西段)
201229.0,招商路(蛇口西段)
201248.0,招商路(蛇口西段)
203079.0,后海大道辅道(蛇口北段)
201165.0,荔园路(蛇口西段)
203040.0,四海路
201246.0,招商路(蛇口西段)
203029.0,四海路
201126.0,荔园路(蛇口西段)
201238.0,招商路(蛇口西段)
202302.0,海月路(东段)
203053.0,四海路
201231.0,招商路(蛇口西段)
203083.0,后海大道辅道(蛇口北段)
203048.0,四海路
203259.0,荔园路(蛇口东段)
203104.0,后海大道辅道(蛇口北段)
201174.0,荔园路(蛇口西段)
203063.0,后海大道辅道(蛇口北段)
201189.0,招商路(蛇口西段)
203112.0,后海大道辅道(蛇口北段)
201205.0,招商路(蛇口西段)
203265.0,荔园路(蛇口东段)
203121.0,后海大道辅道(蛇口北段)
203261.0,荔园路(蛇口东段)
201187.0,招商路(蛇口西段)
203113.0,后海大道辅道(蛇口北段)
201132.0,荔园路(蛇口西段)
201170.0,荔园路(蛇口西段)
201091.0,荔园路(蛇口西段)
201100.0,荔园路(蛇口西段)
201102.0,荔园路(蛇口西段)
203006.0,四海路
201117.0,荔园路(蛇口西段)
203123.0,后海大道辅道(蛇口北段)
201182.0,招商路(蛇口西段)
201203.0,招商路(蛇口西段)
203260.0,荔园路(蛇口东段)
201219.0,招商路(蛇口西段)
202310.0,海月路(东段)
203010.0,四海路
201222.0,招商路(蛇口西段)
201198.0,招商路(蛇口西段)
203102.0,后海大道辅道(蛇口北段)
201146.0,荔园路(蛇口西段)
203019.0,四海路
203108.0,后海大道辅道(蛇口北段)
201191.0,招商路(蛇口西段)
203023.0,四海路
203126.0,后海大道辅道(蛇口北段)
202216.0,金世纪路
202315.0,海月路(东段)
203042.0,四海路
203109.0,后海大道辅道(蛇口北段)
202212.0,金世纪路
203003.0,四海路
203012.0,四海路
202219.0,金世纪路
202233.0,金世纪路
203028.0,四海路
201129.0,荔园路(蛇口西段)
203014.0,四海路
201128.0,荔园路(蛇口西段)
203056.0,四海路
202301.0,海月路(东段)
201161.0,荔园路(蛇口西段)
201211.0,招商路(蛇口西段)
201234.0,招商路(蛇口西段)
203088.0,后海大道辅道(蛇口北段)
203021.0,四海路
203041.0,四海路
203001.0,四海路
203002.0,四海路
203255.0,荔园路(蛇口东段)
201197.0,招商路(蛇口西段)
201158.0,荔园路(蛇口西段)
201226.0,招商路(蛇口西段)
201112.0,荔园路(蛇口西段)
201233.0,招商路(蛇口西段)
201214.0,招商路(蛇口西段)
201245.0,招商路(蛇口西段)
203254.0,荔园路(蛇口东段)
201206.0,招商路(蛇口西段)
201144.0,荔园路(蛇口西段)
201160.0,荔园路(蛇口西段)
201172.0,荔园路(蛇口西段)
203020.0,四海路
203253.0,荔园路(蛇口东段)
202308.0,海月路(东段)
203105.0,后海大道辅道(蛇口北段)
201213.0,招商路(蛇口西段)
203073.0,后海大道辅道(蛇口北段)
201240.0,招商路(蛇口西段)
203070.0,后海大道辅道(蛇口北段)
202317.0,海月路(东段)
203043.0,四海路
201244.0,招商路(蛇口西段)
201105.0,荔园路(蛇口西段)
201125.0,荔园路(蛇口西段)
203078.0,后海大道辅道(蛇口北段)
201108.0,荔园路(蛇口西段)
203005.0,四海路
203007.0,四海路
203273.0,荔园路(蛇口东段)
201192.0,招商路(蛇口西段)
202214.0,金世纪路
203107.0,后海大道辅道(蛇口北段)
201096.0,荔园路(蛇口西段)
201190.0,招商路(蛇口西段)
201163.0,荔园路(蛇口西段)
203054.0,四海路
203051.0,四海路
201247.0,招商路(蛇口西段)
201107.0,荔园路(蛇口西段)
201221.0,招商路(蛇口西段)
203090.0,后海大道辅道(蛇口北段)
203120.0,后海大道辅道(蛇口北段)
203256.0,荔园路(蛇口东段)
203087.0,后海大道辅道(蛇口北段)
201124.0,荔园路(蛇口西段)
201201.0,招商路(蛇口西段)
201204.0,招商路(蛇口西段)
203068.0,后海大道辅道(蛇口北段)
203071.0,后海大道辅道(蛇口北段)
201220.0,招商路(蛇口西段)
203117.0,后海大道辅道(蛇口北段)
203027.0,四海路
203075.0,后海大道辅道(蛇口北段)
203118.0,后海大道辅道(蛇口北段)
201115.0,荔园路(蛇口西段)
203263.0,荔园路(蛇口东段)
203272.0,荔园路(蛇口东段)
202220.0,金世纪路
202303.0,海月路(东段)
203052.0,四海路
203013.0,四海路
201114.0,荔园路(蛇口西段)
203025.0,四海路
202221.0,金世纪路
202309.0,海月路(东段)
201227.0,招商路(蛇口西段)
203037.0,四海路
201097.0,荔园路(蛇口西段)
201168.0,荔园路(蛇口西段)
202319.0,海月路(东段)
201235.0,招商路(蛇口西段)
203081.0,后海大道辅道(蛇口北段)
201150.0,荔园路(蛇口西段)
201173.0,荔园路(蛇口西段)
203038.0,四海路
203251.0,荔园路(蛇口东段)
203106.0,后海大道辅道(蛇口北段)
203082.0,后海大道辅道(蛇口北段)
201099.0,荔园路(蛇口西段)
201162.0,荔园路(蛇口西段)
201184.0,招商路(蛇口西段)
201217.0,招商路(蛇口西段)
203055.0,四海路
201169.0,荔园路(蛇口西段)
201194.0,招商路(蛇口西段)
202307.0,海月路(东段)
203292.0,荔园路(蛇口东段)
204183.0,海德二道（南油段）
203274.0,荔园路(蛇口东段)
204083.0,创业路(南油段)
204206.0,海德二道（南油段）
203365.0,工业九路
204061.0,创业路(南油段)
204158.0,创业路(南油段)
204188.0,海德二道（南油段）
204189.0,海德二道（南油段）
204191.0,海德二道（南油段）
204043.0,南新路
204076.0,创业路(南油段)
203297.0,荔园路(蛇口东段)
203352.0,工业九路
204062.0,创业路(南油段)
204179.0,海德二道（南油段）
204186.0,海德二道（南油段）
204138.0,创业路(南油段)
205043.0,后海大道辅道(后海段)
205022.0,后海大道辅道(后海段)
204015.0,南新路
204099.0,创业路(南油段)
204100.0,创业路(南油段)
204127.0,创业路(南油段)
204129.0,创业路(南油段)
205045.0,后海大道辅道(后海段)
204094.0,创业路(南油段)
203298.0,荔园路(蛇口东段)
204173.0,海德二道（南油段）
203282.0,荔园路(蛇口东段)
204194.0,海德二道（南油段）
204198.0,海德二道（南油段）
204114.0,创业路(南油段)
204086.0,创业路(南油段)
205026.0,后海大道辅道(后海段)
204080.0,创业路(南油段)
204178.0,海德二道（南油段）
205085.0,后海大道辅道(后海段)
203344.0,工业九路
204049.0,南新路
203317.0,荔园路(蛇口东段)
205031.0,后海大道辅道(后海段)
205073.0,后海大道辅道(后海段)
204117.0,创业路(南油段)
204154.0,创业路(南油段)
203375.0,工业九路
204201.0,海德二道（南油段）
203285.0,荔园路(蛇口东段)
203372.0,工业九路
204091.0,创业路(南油段)
203275.0,荔园路(蛇口东段)
203350.0,工业九路
203357.0,工业九路
205077.0,后海大道辅道(后海段)
204047.0,南新路
204009.0,南新路
204112.0,创业路(南油段)
203378.0,工业九路
204096.0,创业路(南油段)
205081.0,后海大道辅道(后海段)
203381.0,工业九路
205090.0,后海大道辅道(后海段)
204046.0,南新路
204196.0,海德二道（南油段）
203348.0,工业九路
204157.0,创业路(南油段)
203379.0,工业九路
205076.0,后海大道辅道(后海段)
204044.0,南新路
205050.0,后海大道辅道(后海段)
204092.0,创业路(南油段)
203337.0,工业九路
204093.0,创业路(南油段)
203289.0,荔园路(蛇口东段)
204213.0,海德二道（南油段）
203278.0,荔园路(蛇口东段)
203362.0,工业九路
204215.0,海德二道（南油段）
204133.0,创业路(南油段)
205042.0,后海大道辅道(后海段)
203286.0,荔园路(蛇口东段)
204139.0,创业路(南油段)
203341.0,工业九路
203377.0,工业九路
204085.0,创业路(南油段)
205088.0,后海大道辅道(后海段)
203284.0,荔园路(蛇口东段)
204068.0,创业路(南油段)
204134.0,创业路(南油段)
205068.0,后海大道辅道(后海段)
204214.0,海德二道（南油段）
204118.0,创业路(南油段)
205048.0,后海大道辅道(后海段)
205072.0,后海大道辅道(后海段)
204174.0,海德二道（南油段）
203281.0,荔园路(蛇口东段)
204209.0,海德二道（南油段）
205032.0,后海大道辅道(后海段)
205025.0,后海大道辅道(后海段)
203279.0,荔园路(蛇口东段)
203345.0,工业九路
205044.0,后海大道辅道(后海段)
204153.0,创业路(南油段)
203369.0,工业九路
203361.0,工业九路
205098.0,后海大道辅道(后海段)
204069.0,创业路(南油段)
205067.0,后海大道辅道(后海段)
205064.0,后海大道辅道(后海段)
203280.0,荔园路(蛇口东段)
203296.0,荔园路(蛇口东段)
205023.0,后海大道辅道(后海段)
204089.0,创业路(南油段)
204197.0,海德二道（南油段）
203318.0,荔园路(蛇口东段)
204001.0,南新路
205037.0,后海大道辅道(后海段)
203347.0,工业九路
203353.0,工业九路
205028.0,后海大道辅道(后海段)
203358.0,工业九路
203339.0,工业九路
203346.0,工业九路
203367.0,工业九路
204155.0,创业路(南油段)
203334.0,工业九路
203371.0,工业九路
204135.0,创业路(南油段)
205083.0,后海大道辅道(后海段)
203359.0,工业九路
205039.0,后海大道辅道(后海段)
203351.0,工业九路
204203.0,海德二道（南油段）
205078.0,后海大道辅道(后海段)
203355.0,工业九路
204088.0,创业路(南油段)
205046.0,后海大道辅道(后海段)
204113.0,创业路(南油段)
204116.0,创业路(南油段)
203276.0,荔园路(蛇口东段)
204067.0,创业路(南油段)
205082.0,后海大道辅道(后海段)
204123.0,创业路(南油段)
205089.0,后海大道辅道(后海段)
203380.0,工业九路
204130.0,创业路(南油段)
203293.0,荔园路(蛇口东段)
205034.0,后海大道辅道(后海段)
205051.0,后海大道辅道(后海段)
203333.0,工业九路
205040.0,后海大道辅道(后海段)
204048.0,南新路
204177.0,海德二道（南油段）
204132.0,创业路(南油段)
205079.0,后海大道辅道(后海段)
203342.0,工业九路
204131.0,创业路(南油段)
204218.0,海德二道（南油段）
205065.0,后海大道辅道(后海段)
205095.0,后海大道辅道(后海段)
203319.0,荔园路(蛇口东段)
204195.0,海德二道（南油段）
205038.0,后海大道辅道(后海段)
204082.0,创业路(南油段)
204045.0,南新路
204120.0,创业路(南油段)
204193.0,海德二道（南油段）
205053.0,后海大道辅道(后海段)
204006.0,南新路
204042.0,南新路
204124.0,创业路(南油段)
204125.0,创业路(南油段)
205030.0,后海大道辅道(后海段)
204063.0,创业路(南油段)
204098.0,创业路(南油段)
204079.0,创业路(南油段)
204181.0,海德二道（南油段）
204184.0,海德二道（南油段）
204216.0,海德二道（南油段）
204156.0,创业路(南油段)
203288.0,荔园路(蛇口东段)
203338.0,工业九路
205024.0,后海大道辅道(后海段)
205097.0,后海大道辅道(后海段)
205075.0,后海大道辅道(后海段)
204095.0,创业路(南油段)
203340.0,工业九路
204014.0,南新路
203287.0,荔园路(蛇口东段)
204003.0,南新路
205086.0,后海大道辅道(后海段)
203301.0,荔园路(蛇口东段)
204008.0,南新路
204219.0,海德二道（南油段）
204004.0,南新路
203354.0,工业九路
203368.0,工业九路
204185.0,海德二道（南油段）
204011.0,南新路
204121.0,创业路(南油段)
205070.0,后海大道辅道(后海段)
205094.0,后海大道辅道(后海段)
203331.0,工业九路
204126.0,创业路(南油段)
204180.0,海德二道（南油段）
204199.0,海德二道（南油段）
203277.0,荔园路(蛇口东段)
203283.0,荔园路(蛇口东段)
205091.0,后海大道辅道(后海段)
204005.0,南新路
203300.0,荔园路(蛇口东段)
203363.0,工业九路
203364.0,工业九路
204081.0,创业路(南油段)
204159.0,创业路(南油段)
204084.0,创业路(南油段)
204111.0,创业路(南油段)
204207.0,海德二道（南油段）
204175.0,海德二道（南油段）
204010.0,南新路
204210.0,海德二道（南油段）
204211.0,海德二道（南油段）
204192.0,海德二道（南油段）
205069.0,后海大道辅道(后海段)
204097.0,创业路(南油段)
204208.0,海德二道（南油段）
203370.0,工业九路
204202.0,海德二道（南油段）
205027.0,后海大道辅道(后海段)
204064.0,创业路(南油段)
204090.0,创业路(南油段)
205071.0,后海大道辅道(后海段)
204002.0,南新路
205021.0,后海大道辅道(后海段)
204212.0,海德二道（南油段）
203332.0,工业九路
204066.0,创业路(南油段)
204077.0,创业路(南油段)
204217.0,海德二道（南油段）
205047.0,后海大道辅道(后海段)
205096.0,后海大道辅道(后海段)
204140.0,创业路(南油段)
205041.0,后海大道辅道(后海段)
205080.0,后海大道辅道(后海段)
203336.0,工业九路
204204.0,海德二道（南油段）
205074.0,后海大道辅道(后海段)
205093.0,后海大道辅道(后海段)
203295.0,荔园路(蛇口东段)
203302.0,荔园路(蛇口东段)
205052.0,后海大道辅道(后海段)
203335.0,工业九路
203290.0,荔园路(蛇口东段)
205036.0,后海大道辅道(后海段)
205066.0,后海大道辅道(后海段)
203356.0,工业九路
204101.0,创业路(南油段)
204122.0,创业路(南油段)
205092.0,后海大道辅道(后海段)
203360.0,工业九路
205087.0,后海大道辅道(后海段)
203294.0,荔园路(蛇口东段)
203374.0,工业九路
204013.0,南新路
203299.0,荔园路(蛇口东段)
204007.0,南新路
203376.0,工业九路
204172.0,海德二道（南油段）
204128.0,创业路(南油段)
204012.0,南新路
204119.0,创业路(南油段)
203366.0,工业九路
204176.0,海德二道（南油段）
204136.0,创业路(南油段)
203349.0,工业九路
204205.0,海德二道（南油段）
205033.0,后海大道辅道(后海段)
204065.0,创业路(南油段)
204115.0,创业路(南油段)
203373.0,工业九路
204087.0,创业路(南油段)
204182.0,海德二道（南油段）
205049.0,后海大道辅道(后海段)
203291.0,荔园路(蛇口东段)
204078.0,创业路(南油段)
205035.0,后海大道辅道(后海段)
204137.0,创业路(南油段)
205084.0,后海大道辅道(后海段)
206027.0,常兴路
206001.0,常兴路
206281.0,南头街
205196.0,龙城路
206289.0,南头街
205133.0,登良路
205194.0,龙城路
205147.0,登良路
206286.0,南头街
206058.0,常兴路
206022.0,常兴路
205102.0,后海大道辅道(后海段)
205146.0,登良路
206102.0,学府路(前海段)
206010.0,常兴路
206011.0,常兴路
206030.0,常兴路
206008.0,常兴路
206070.0,常兴路
205173.0,龙城路
205177.0,龙城路
206024.0,常兴路
205106.0,后海大道辅道(后海段)
205140.0,登良路
205188.0,龙城路
206051.0,常兴路
206282.0,南头街
205112.0,后海大道辅道(后海段)
206077.0,常兴路
205176.0,龙城路
206019.0,常兴路
205156.0,登良路
205130.0,登良路
205180.0,龙城路
206035.0,常兴路
205128.0,华明路
206063.0,常兴路
206095.0,学府路(前海段)
206080.0,常兴路
206290.0,南头街
205103.0,后海大道辅道(后海段)
205129.0,华明路
206007.0,常兴路
206062.0,常兴路
205158.0,登良路
206288.0,南头街
205138.0,登良路
205137.0,登良路
205143.0,登良路
205171.0,龙城路
206061.0,常兴路
206023.0,常兴路
206028.0,常兴路
206284.0,南头街
205200.0,龙城路
205178.0,龙城路
206006.0,常兴路
206068.0,常兴路
205099.0,后海大道辅道(后海段)
206004.0,常兴路
206005.0,常兴路
206021.0,常兴路
206075.0,常兴路
205110.0,后海大道辅道(后海段)
205136.0,登良路
205145.0,登良路
206054.0,常兴路
206020.0,常兴路
205151.0,登良路
206018.0,常兴路
206103.0,学府路(前海段)
206060.0,常兴路
205148.0,登良路
205101.0,后海大道辅道(后海段)
205182.0,龙城路
206002.0,常兴路
205175.0,龙城路
205141.0,登良路
206092.0,学府路(前海段)
205186.0,龙城路
206059.0,常兴路
206033.0,常兴路
205152.0,登良路
205155.0,登良路
206053.0,常兴路
205132.0,登良路
205189.0,龙城路
206025.0,常兴路
206064.0,常兴路
205104.0,后海大道辅道(后海段)
206014.0,常兴路
205203.0,龙城路
205183.0,龙城路
205190.0,龙城路
205150.0,登良路
205111.0,后海大道辅道(后海段)
205139.0,登良路
205153.0,登良路
206094.0,学府路(前海段)
205105.0,后海大道辅道(后海段)
206079.0,常兴路
205131.0,登良路
205185.0,龙城路
206009.0,常兴路
206036.0,常兴路
205107.0,后海大道辅道(后海段)
206074.0,常兴路
206013.0,常兴路
205181.0,龙城路
206012.0,常兴路
206078.0,常兴路
205135.0,登良路
205144.0,登良路
205149.0,登良路
206073.0,常兴路
205172.0,龙城路
206055.0,常兴路
206072.0,常兴路
206101.0,学府路(前海段)
206283.0,南头街
205174.0,龙城路
206034.0,常兴路
206071.0,常兴路
205184.0,龙城路
205197.0,龙城路
206016.0,常兴路
206287.0,南头街
206285.0,南头街
205109.0,后海大道辅道(后海段)
206031.0,常兴路
206052.0,常兴路
206097.0,学府路(前海段)
205201.0,龙城路
206056.0,常兴路
206029.0,常兴路
205108.0,后海大道辅道(后海段)
206026.0,常兴路
205142.0,登良路
205199.0,龙城路
205134.0,登良路
206017.0,常兴路
206065.0,常兴路
206096.0,学府路(前海段)
206015.0,常兴路
206003.0,常兴路
206076.0,常兴路
206032.0,常兴路
206066.0,常兴路
206057.0,常兴路
205191.0,龙城路
205179.0,龙城路
206067.0,常兴路
205198.0,龙城路
206093.0,学府路(前海段)
205154.0,登良路
205187.0,龙城路
206099.0,学府路(前海段)
206104.0,学府路(前海段)
205193.0,龙城路
205202.0,龙城路
205157.0,登良路
206069.0,常兴路
205127.0,华明路
207017.0,中心路(后海湾段)
207026.0,中心路(后海湾段)
206308.0,南头街
207044.0,中心路(后海湾段)
207146.0,海德一道(后海湾段)
208182.0,文心二路
208176.0,文心二路
207180.0,海德一道(后海湾段)
206306.0,南头街
208109.0,文心一路
207082.0,创业路(后海湾段)
206302.0,南头街
207023.0,中心路(后海湾段)
207052.0,中心路(后海湾段)
207171.0,海德一道(后海湾段)
207086.0,创业路(后海湾段)
207020.0,中心路(后海湾段)
208154.0,文心二路
207019.0,中心路(后海湾段)
208144.0,文心二路
207051.0,中心路(后海湾段)
208108.0,文心一路
208142.0,文心二路
207028.0,中心路(后海湾段)
208145.0,文心二路
207058.0,中心路(后海湾段)
207011.0,中心路(后海湾段)
208244.0,文心三路
207115.0,创业路(后海湾段)
208137.0,文心二路
208264.0,文心四路
207057.0,中心路(后海湾段)
207024.0,中心路(后海湾段)
208253.0,文心三路
208255.0,文心三路
208179.0,文心二路
207015.0,中心路(后海湾段)
207073.0,中心路(后海湾段)
208120.0,文心一路
208256.0,文心三路
207066.0,中心路(后海湾段)
207012.0,中心路(后海湾段)
208254.0,文心三路
208243.0,文心三路
207088.0,创业路(后海湾段)
207089.0,创业路(后海湾段)
206296.0,南头街
207087.0,创业路(后海湾段)
206304.0,南头街
208103.0,文心一路
207072.0,中心路(后海湾段)
207008.0,中心路(后海湾段)
207062.0,中心路(后海湾段)
207046.0,中心路(后海湾段)
208121.0,文心一路
208155.0,文心二路
208177.0,文心二路
207006.0,中心路(后海湾段)
207042.0,中心路(后海湾段)
208180.0,文心二路
207081.0,创业路(后海湾段)
207112.0,创业路(后海湾段)
208242.0,文心三路
207021.0,中心路(后海湾段)
207085.0,创业路(后海湾段)
208104.0,文心一路
207151.0,海德一道(后海湾段)
208152.0,文心二路
208178.0,文心二路
208263.0,文心四路
208245.0,文心三路
207043.0,中心路(后海湾段)
208136.0,文心二路
207014.0,中心路(后海湾段)
208107.0,文心一路
208101.0,文心一路
207113.0,创业路(后海湾段)
207154.0,海德一道(后海湾段)
208173.0,文心二路
207009.0,中心路(后海湾段)
207045.0,中心路(后海湾段)
207016.0,中心路(后海湾段)
207068.0,中心路(后海湾段)
207047.0,中心路(后海湾段)
207069.0,中心路(后海湾段)
207114.0,创业路(后海湾段)
208123.0,文心一路
208135.0,文心二路
207022.0,中心路(后海湾段)
208175.0,文心二路
206294.0,南头街
207060.0,中心路(后海湾段)
207065.0,中心路(后海湾段)
207048.0,中心路(后海湾段)
207184.0,海德一道(后海湾段)
207083.0,创业路(后海湾段)
208105.0,文心一路
207153.0,海德一道(后海湾段)
207144.0,海德一道(后海湾段)
208153.0,文心二路
208241.0,文心三路
207018.0,中心路(后海湾段)
208257.0,文心三路
207063.0,中心路(后海湾段)
207143.0,海德一道(后海湾段)
207064.0,中心路(后海湾段)
208146.0,文心二路
208102.0,文心一路
208151.0,文心二路
207032.0,中心路(后海湾段)
207176.0,海德一道(后海湾段)
207120.0,创业路(后海湾段)
207013.0,中心路(后海湾段)
207029.0,中心路(后海湾段)
207004.0,中心路(后海湾段)
207071.0,中心路(后海湾段)
207175.0,海德一道(后海湾段)
207181.0,海德一道(后海湾段)
207061.0,中心路(后海湾段)
207059.0,中心路(后海湾段)
206307.0,南头街
207182.0,海德一道(后海湾段)
206305.0,南头街
206295.0,南头街
207054.0,中心路(后海湾段)
208143.0,文心二路
207030.0,中心路(后海湾段)
206297.0,南头街
207003.0,中心路(后海湾段)
208172.0,文心二路
208251.0,文心三路
207173.0,海德一道(后海湾段)
207053.0,中心路(后海湾段)
207174.0,海德一道(后海湾段)
207141.0,海德一道(后海湾段)
207007.0,中心路(后海湾段)
207025.0,中心路(后海湾段)
207055.0,中心路(后海湾段)
207070.0,中心路(后海湾段)
208122.0,文心一路
207179.0,海德一道(后海湾段)
207117.0,创业路(后海湾段)
207084.0,创业路(后海湾段)
207050.0,中心路(后海湾段)
207119.0,创业路(后海湾段)
208139.0,文心二路
208106.0,文心一路
207010.0,中心路(后海湾段)
207118.0,创业路(后海湾段)
207183.0,海德一道(后海湾段)
207049.0,中心路(后海湾段)
208138.0,文心二路
207142.0,海德一道(后海湾段)
207116.0,创业路(后海湾段)
208140.0,文心二路
207150.0,海德一道(后海湾段)
207172.0,海德一道(后海湾段)
208262.0,文心四路
207001.0,中心路(后海湾段)
208183.0,文心二路
207005.0,中心路(后海湾段)
207145.0,海德一道(后海湾段)
207056.0,中心路(后海湾段)
206303.0,南头街
208181.0,文心二路
208261.0,文心四路
207041.0,中心路(后海湾段)
207031.0,中心路(后海湾段)
207147.0,海德一道(后海湾段)
207152.0,海德一道(后海湾段)
207149.0,海德一道(后海湾段)
207002.0,中心路(后海湾段)
207178.0,海德一道(后海湾段)
208252.0,文心三路
208174.0,文心二路
208171.0,文心二路
208141.0,文心二路
208407.0,文心六路
208430.0,创业路辅道
208488.0,海德一道
208351.0,文心六路
208431.0,创业路辅道
208435.0,创业路辅道
208442.0,创业路辅道
208303.0,文心五路
208474.0,海德一道
208478.0,海德一道
208373.0,文心六路
208282.0,文心四路
208459.0,创业路辅道
208306.0,文心五路
208477.0,海德一道
208455.0,创业路辅道
208273.0,文心四路
208333.0,文心五路
208366.0,文心六路
208372.0,文心六路
208409.0,文心六路
208410.0,文心六路
208438.0,创业路辅道
208313.0,文心五路
208421.0,创业路辅道
208371.0,文心六路
208280.0,文心四路
208379.0,文心六路
208450.0,创业路辅道
208381.0,文心六路
208281.0,文心四路
208411.0,文心六路
208481.0,海德一道
208360.0,文心六路
208405.0,文心六路
208412.0,文心六路
208453.0,创业路辅道
208388.0,文心六路
208428.0,创业路辅道
208269.0,文心四路
208433.0,创业路辅道
208406.0,文心六路
208437.0,创业路辅道
208439.0,创业路辅道
208458.0,创业路辅道
208462.0,创业路辅道
208485.0,海德一道
208305.0,文心五路
208316.0,文心五路
208400.0,文心六路
208352.0,文心六路
208404.0,文心六路
208276.0,文心四路
208383.0,文心六路
208403.0,文心六路
208354.0,文心六路
208448.0,创业路辅道
208384.0,文心六路
208391.0,文心六路
208451.0,创业路辅道
208355.0,文心六路
208472.0,海德一道
208394.0,文心六路
208304.0,文心五路
208365.0,文心六路
208471.0,海德一道
208422.0,创业路辅道
208457.0,创业路辅道
208380.0,文心六路
208267.0,文心四路
208283.0,文心四路
208476.0,海德一道
208378.0,文心六路
208284.0,文心四路
